#List
abase v.降低···的地位，贬抑，使卑下
skim v.从液体表面撇去(油脂，乳沫等)；浏览，略读
skirmish n.小规模战斗；(人)小争吵
skirt v.绕过，回避
skit n.(模仿取笑某人或某事的)幽默讽刺短剧；讽刺文章
skittish a.轻浮的，活泼的
skullduggery n.欺骗，使诈
skyrocket v.突升，猛涨
slack a.懒散的，懈怠的；(绳)松弛的；v.松懈，怠惰
slake v.平息；满足(欲望)
slander v./n.诽谤，诋毁
slant v.倾斜；n.斜面；看法；偏见
slattern a.不整洁的 n.邋遢的女人
slay v.杀戮，杀死
sleight n.巧妙手法；诡计，灵巧
slew v.(使)旋转；n.大量
slice n.薄片 v.切成片
slick a.熟练的；(人)圆滑的；光滑的
slight adj.轻微的，微小的；v.怠慢，冷落 n.冒犯他人的行为、言语等
slink v.溜走，潜逃
slippage n.(价值，价格)滑动，下降
slippery a.滑的；(人)狡猾的，不可靠的
slit v.撕裂 n.裂缝
sliver n.长条；v.裂成细片
slobber n.口水 v.流口水；情不自禁的说
slog v.猛击； 苦干
sloppy a.邋遢的，不整洁的；粗心马虎的
slosh v.泼，溅 n.泥泞
slot n.狭孔(如：投币孔）
slouch n.没精打采的样子；v.没精打采地坐(站、走)
sloven n.不修边幅的人
slue v.使旋转
slug v.猛击，拳击
slumber v.睡眠，安睡；n.安睡
slump v.暴跌，大幅度下降
slur v.含糊不清地讲
slurp v.大声地啜喝 n.啜食，啜食声
sly a.狡猾的，狡诈的
smarmy a.虚情假意的
smattering n.略知，一知半解；少数，少量
smear n.油渍，污点；v.弄脏，玷污
smirch v.弄脏 n.玷污
smirk v.假笑，得意地笑
smite v.重击，猛打
smooth a.光滑的；平稳的；v.弄平，使光滑；消除(问题困难)
smudge n.污迹，渍痕(常因摩擦造成)；v.弄脏
smuggle v.走私，私运
smut n.污迹，黑穗病；v.弄脏
snappy a.生机勃勃的；漂亮的，时髦的
snare n.罗网，陷阱
snarl n./v.纠缠，混乱，咆哮
snatch n./v.强夺，攫取
sneaking a.鬼鬼祟祟的，私下的
sneer v.嘲笑，鄙视
snicker v./n.窃笑，暗笑
snide a.讽刺的，含沙射影的
snip v.剪断 n.剪，碎片
snipe v.阻击
snitch v.告密；偷
snob n.势利小人
snobbish a.势利眼的；假充绅士的
snooze v.打盹儿，打瞌睡
snuggle v.紧靠，依偎
soak v.浸泡，渗透
sober a.清醒的，未醉的；庄重的，认真的
sock v.重击，痛打；n.短袜
sodden a.浸透了的
soggy a.湿透的
soil n./v.弄脏，污损；n.土壤
solidify v.巩固，(使)凝固，(使)团结
solitude n.孤独，独居
somatic a.肉体的，身体的
somnolent a.想睡的，催眠的
sophism n.诡辩；诡辩法(术)
sorcery n.巫术，魔法，妖术
soulful a.充满感情的；神情的
sour a.酸的
spacious a.广阔的，宽敞的
spank v.打，拍打(在屁股上)
spark n.火花，火星
sparring n.拳击，争斗
spasmodic a.痉挛的；间歇性的
spat n.口角，小争论
spate n.大批，大量；(水)泛滥
spatter v.洒，溅
spear n.矛；嫩叶；v.(用矛)刺戳
specifics n.细小问题，细节
speck n.小斑点，小污点；少量
spectacular a.壮观的，引人入胜的
spell n.连续的一段时间；拼写；咒语
spendthrift adj./n.挥金如土的(人)
spew v.呕吐；大量喷出
spiel n.滔滔不绝的讲话
spin v.旋转；纺，纺纱；n.旋转
spindly adj.细长的，纤弱的
spite n.怨恨，恶意
splashy a.容易溅开的；炫耀显眼的
spleen n.怨怒，怒气；脾脏
#List
splice v.接合，衔接(绳子，胶卷等)
split n./v.分裂，裂开
spoilsport n.使人扫兴的人
spoliation n.抢劫，掠夺
spontaneous a.自发的；自然的
sport v.炫耀，卖弄
sportive a.嬉戏的，欢闹的
spout v.喷出；滔滔不绝地讲
sprain v.扭伤
spree n.狂欢
sprint v.短距离全速奔跑
spur v.刺激，激励；用马刺刺马
spurt n.(液体等的）喷出，迸发
squabble n.大声争吵(尤指为琐事)
squall n.短暂、突然且猛烈的风暴；短暂的骚动
squalor n.不洁，污秽
square v.一致，使符合；结清，结账
squat v.蹲下；a.(贬)矮胖的
squeamish a.易受惊的；易恶心的
squeeze v.压，挤；n.压榨，紧握
squelch v.压制，镇压
squint v.斜视；眯眼看
stab v.刺伤，戳
stagy a.不自然的，做作的
staid a.稳重的，沉着的
stain v.玷污(某人名声)；染色
stale a.不新鲜的；陈腐的
stammer v.口吃，结巴地说
stampede v.惊跑，逃窜
stanza n.(诗)节，段(尤指压韵的)
star-crossed a.时运不济的
startle v.使吃惊
stationary a.静止的，不动的
statuary n.雕像；雕塑艺术
stature n.身高，身材
statutory a.法定的；受法令所约束的
staunch a.坚定的，忠诚的
stealth n.秘密的行动
steep v.浸泡，浸透；a.陡峭的，过高的
steer v.操舵，驾驶；n.公牛，食用牛
stench n.臭气，恶臭(stink)
stentorian a.(指声音)极响亮的
sterilize v.使不育；杀菌
stickler n.坚持细节之人
sticky a.湿热的，闷热的；黏的
stiff a.僵硬的，呆板的；严厉的
stifle v.(使)感到窒息；抑止
stigma n.耻辱的标志，污点
stigmatize v.污蔑，玷污
stimulant n.兴奋剂，刺激物
sting v.刺痛；叮螫；n.螫刺
stinginess n.小气
stipple v.点画，点描
stipulation n.规定，约定
stir v.刺激；搅拌
stitch n.(缝纫时的)一针，一钩；v.缝合
stock a.普通的，惯用的；n.存货；家畜；股票
stoke v.给…添加燃料
stolid adj.无动于衷的
stomach v.吃得下；容忍
stonewall v.拖延议事，设置障碍
stooge n.配角，陪衬；傀儡
stoop v.弯腰，俯身；屈尊
stouthearted a.刚毅的，大胆的
straggle v.迷路；落伍；蔓延
straightforward a.正直的；易懂的；直截了当的
straiten v.使为难； 使变窄
strand n.绳线的一股；v.搁浅
stranded a.搁浅的，进退两难的
strangulation n.扼杀，勒死
stray v.偏离，迷路；a.迷了路的，偏离的；零落的，散乱的
stretch v.变长或变宽；伸展
strew v.撒，散播
striate v.在…加上条纹
striated a.有条纹的
stricture n.严厉谴责；束缚
strident a.尖声的，刺耳的
strife n.纷争，冲突
striking a.引人注目的，明显的
stroke v.(用手)轻抚；n.击，打(球)；(钢笔，毛笔)一笔，笔画
stroll v.漫步，闲逛
strut v.趾高气扬地走；n.支柱，支杆
stubby a.短粗的
studied a.慎重的；认真习得的
stuffy a.(空气)不新鲜的，闷气的
stultify v.使变得荒谬可笑；使变得无用
stun v.使震惊，打晕
stunt v.阻碍(成长)；n.特技，绝技
stupefy v.使茫然，使惊呆
stupendous a.巨大的，惊人的
stupor n.昏迷，不醒人事
sturdy a.(身体)强健的；结实的
stutter n./v.口吃，结巴
stygian a.阴暗的，阴森森的
suavity n.柔和，愉快
subcelestial a.世俗的，尘世的
subjugate v.征服，镇压
sublimate v.（使）升华，净化
sublime a.崇高的
submit v.屈服；提交，呈递
suborn v.收买，贿赂(他人以做违法之事，尤指作伪证)
subpoena n.(法律)传票；v.(用传票)传讯
subreption n.隐瞒真相，歪曲事实
subscribe v.捐助；订购
subsequent a.随后的，后来的，连续的
subsidiary a.辅助的；次要的
subsidy n.补助金
subsistence n.生存，生计；存在
substance n.要意，主旨，实质；物质
substantial a.坚固的，结实的；大体上的，基本的，实质的
substratum n.基础；地基
subsume v.包含，把…归入
subterfuge n.诡计，托辞(尤指为逃避困难、责任、失败)
subvention n.补助金，津贴
suckle v.给…哺乳；吮吸
suffocate v.(使)窒息而死，把…闷死
suggestive a.暗示的
sulky a.生闷气的，不搭理人的
sullen a.忧郁的
summation n.总结，概要；总数，合计
summon v.召见；召集
sunder v.分开，分离
sundry a.各式各样，各种的
superannuated a.老迈的
supererogatory a.职责以外的；多余的
superfluity n.多余的量
superimpose v.加在上面，叠加
superlative a.最好的
supervise v.监督，管理
supine a.仰卧的；懒散的
supplicate v.恳求，乞求
supreme a.至高的；极度的
surfeit n.(饮食)过量，过度；v.使过量(饮食)
surge v.波涛汹涌，波动
surplus a.过剩的；盈余的
suspicion n.怀疑，觉察，嫌疑
sustained a.持久的，持续的
svelte a.(女人)体态苗条的
swagger v.(贬)自鸣得意地走，大摇大摆地走
swallow v.吞下，咽下；忍受
swamp n.沼泽；v.使陷入，使忙得不可开交；淹没
swank v.夸耀，炫耀
swarthy a.(皮肤等）黝黑的
swathe v.包，绑，裹
sway v.摇动，摇摆；影响使改变观点；n.摇动
swear v.诅咒；发誓
swell v.(使)肿胀，(使)增强
sweltering a.酷热的
swerve v.突然改变方向
swig v.痛饮
swill v.冲洗；大喝，痛饮
swindle v.诈骗
swine n.猪
swing v.摇摆；旋转；n.秋千
#List
swipe n./v. 猛击
swirl v.旋转，起漩涡；n.漩涡
swoop v.猛扑；攫取
sybaritic a.骄奢淫逸的，贪图享乐的
syncretize v.(使）结合，（使）融合
syndrome n.(医)综合症状
synopsis n.摘要，概要
table v.搁置，不加考虑
taboo a.讳忌的；n.禁忌
taciturn a.沉默寡言的
tackle v.处理；n.(吊重物用的)滑车，滑轮
tactic n.(达到目的的)策略，手段；战术
taking a.楚楚动人的，迷人的
tally v.(使)一致，符合
tambourine n.铃鼓，手鼓
tame a.驯服的；沉闷的，平淡无奇的
tamp v.捣实，夯实
tamper v.干预，损害；(未经许可擅自)篡改
tangy a.气味刺激的，扑鼻的
tantrum n.发脾气，发怒(尤指儿童)
tarry v.耽搁
tart a.酸的；尖酸的
tasty a.美味的；有品位的
tatter n.碎片 v.撕碎
tattle v.闲聊；泄露秘密
tatty a.破旧的，褴褛的，破败的
tauten v.（使）拉紧，（使）绷紧
tear v.撕裂
tease v.逗乐，戏弄；强求，强要 n.逗乐，戏弄
teeter v.摇摇欲坠，步履蹒跚；踌躇
teetotal a.滴酒不沾的；完全的，全部的
temerity n.鲁莽，大胆
temper v.锤炼；缓和；n.脾气，性情
tempest n.暴风雨；骚动
tempestuous a.狂暴的
tempo n.(动作、生活的)步调，速度；(乐曲的)拍子
temporize v.拖延时间(暂缓决定或说明)；见风使舵，顺应时势
tend v.照料，看顾；倾向于…，易于…
tensile a.张力的；可伸展的
tenure n.占有期，任期；终身职位
terminal a.末端的；n.终点站，终端
terminate v.终止，结束
terminus n.(火车，汽车)终点站
testify v.见证，证实(尤指出庭)
testimony n.证词，证明
testy a.性急的，暴躁的
thaw v.解冻，溶化
thermal a.热的，热量的；温暖的；n.热气流
thespian a.戏剧的
thrash v.鞭打
threadbare a.磨破的；陈腐的
throe n.剧痛；挣扎
throng n.一大群；v.拥挤
thrust v.猛力推；刺，戳
thump v.重击，锤击
ticklish a.怕痒的；易怒的
tiff n.口角，小争吵
tightfisted a.吝啬的，极小气的
tilt v.(使)倾斜；n.倾斜，斜坡
timbre n.音色，音质
timely a.适时的，及时的
timeworn a.陈旧的，陈腐的
timid a.羞怯的，胆怯的，怯懦的
tinder n.火种，易燃物，引火物
tinge v.给···着色；使略带···气息
tinkle v.（使）发出叮当声
tirade n.长篇的攻击性讲话
to-do n.喧闹，骚乱
toil v./n.长时间辛勤劳作
toll n.过路(桥)费；伤亡人数，损失；v.(缓慢而有规律地)敲(尤指丧钟)
tome n.册，卷；大部头的书
toothsome a.可口的，美味的
topsy-turvy a.颠倒的，相反的；乱七八糟的，混乱的
torment n.(肉体或精神上的)折磨，痛苦
torrent n.洪流，急流
torrential a.奔流的，洪流的，湍急的
torrid a.酷热的
toss v.(随意或漫无目的地)投，掷；使来回摇动
totter v.摇摇欲坠；步履蹒跚
toy v.不认真地考虑；漫不经心地玩弄
track n.足迹，踪迹；轨道；小道，小路；v.跟踪
tractability n.温顺
traduce v.诽谤，中伤
tragedy n.悲剧，惨事，灾难
traipse v.漫步，闲荡
traitor n.卖国贼，叛徒
tramp v.重步走
tranquility n.宁静，安静
transfer v.转移，传递；调任；转让(财产等)
transfigure v.美化，改观(外表)
transgression n.违法，犯罪
transience n.短暂
transpose v.互换位置，调换
trapeze n.(杂技用)空中秋千，吊架
traverse v.横穿过，横跨
travesty v.滑稽的模仿
treachery n.背叛
treaty n.(国与国之间的)条约；(人与人之间的)协议
trek v.艰苦跋涉
tremendous a.惊人的；巨大的；极好的
tremor n.震动，地震，颤抖，战栗
tremulous a.颤动的；胆怯的
tribute n.赞辞；贡物，贡品
trifle n.微不足道的琐事
trim v.修剪；a.井井有条的
trinket n.小装饰品；不值钱的珠宝
trivia n.琐事，小事
troll v.用曳绳钓鱼；拖钓；兴高采烈地唱
trounce v.痛击，严惩
truant a.逃避责任的 n.逃学者；逃避者，玩忽职守者
trudge v.跋涉，吃力地走
trumpery a.中看不中用的
tumble v.突然跌倒，突然下跌； 倒塌
tumid a.肿起的，肿胀的
tumult n.喧哗，吵闹；骚乱，骚动
turgid a.浮肿的，肿胀的；(贬)(文，语言)浮夸的
turncoat n.背叛者，变节者
tusk n.(象)长牙
tutor n.助教；监护人；v.辅导
tweak v.扭，拧，揪；调节，微调
twee a.矫揉造作的，故做多情的
twinge n.(生理，心理上的)剧痛
tyranny n.暴政，专制统治；暴行
tyro n.新手
ugly a.难看的，可怕的
ulcer n.溃疡；腐烂物
ulcerate v.溃烂
ultramundane a.世界之外的；超俗的
umpire n.仲裁；v.对…进行仲裁
unaffected a.自然的，不矫揉造作的
unanimous a.全体意见一致的
unassuming a.不摆架子的，不造作的
unbend v.弄直；放松，变得随便
unbidden a.未经邀请的
unbosom v.倾诉，吐露
unconscionable a.无节制的，过度的，不合理的
uncouth a.粗野笨拙的，无教养的；拙于说话的
underbid v.要价过低
underdog n.处于劣势的人或国家
undergird v.从底部加强，加固
underling n.下属，手下
underlying a.在下面的，根本的
understudy n.预备演员，替角；v.充当…的替角
underwrite v.同意负担…的费用；为…保险
undulate v.波动，起伏
unearthly a.奇异的，超自然的
unfasten v.解开
unflappable a.不惊慌的，镇定的
unfold v.展开，打开；逐渐呈现
ungrudging a.慷慨的
unification n.统一，一致
unilateral a.单方面的
unison n.齐奏，齐唱；一致，协调
univocal a.单一意思的，意思明确的
unkempt a.蓬乱的，未数理的；不整洁的，乱糟糟的
unprepossessing a.不吸引人的
unprovoked a.(生气等)无缘无故的
unravel v.解开，拆散
#List
unregenerate a.不知悔改的
unrepentant a.不悔悟的，不后悔的
unscrupulousness n.狂妄，肆无忌惮
unsettle v.使不安宁，搅乱
unsettling a.令人不安的，扰乱的，使窘困的
unthreatening a.不危险的
upbraid v.斥责，责骂
upfront a.坦率的
upheaval n.动乱，大变动
upright a.垂直的；正直的
uproar n.喧闹，骚动
uproarious a.骚动的，喧嚣的；令人捧腹(大笑)的，非常有趣的
upsurge n.高涨，高潮
upswing n.上升，增长
utopia n.理想国，理想的完美境界
utter a.完全的；v.发出声音，说话
vacuous a.发呆的，空虚的
vagary n.奇想，异想天开
vagrancy n.游荡，流浪
vagrant a.漂泊的，流浪的；n.流浪汉，居无定所或无固定工作的人
vague a.模糊的
vain a.自负的；徒劳的，无效的
valediction n.告别演说，告别辞
valedictory a.告别的，离别的
vandalism n.(对公物等)恶意破坏
vandalize v.肆意破坏(公物)
vanilla n.香草，香子兰(热带兰科植物)
vanquish v.征服，击溃
vantage n.优势，有利地位
vapid a.索然无味的，枯燥的，无生气的
vaporize v.(使)蒸发
vaporous a.空想的，多蒸汽的
variance n.矛盾，意见不一；不同，变化
variegate v.使…多样化；使…色彩斑斓
vault n.拱顶；地窖
vaunting a.吹嘘的，傲慢的
vegetate v.像植物那样生长；无所事事地生活
velocity n.速度；迅速
velvety a.天鹅绒般柔软光滑的；可口的，醇口的
vendetta n.血仇，世仇；宿怨，深仇
vengeance n.报仇，报复
vengeful a.渴望复仇的，复仇心理的
venom n.毒液；毒物；恶意
ventilate v.使…通风，透风
ventriloquist n.口技表演者，会口技的人
verbatim a.逐字的，（完全）照字面的
verbiage n.废话，冗词
verboten a.禁止的，严禁的
verdict n.(陪审团的)裁决，裁定
verdure n.葱郁，青翠；生机勃勃
verge n.边缘
verisimilar a.好像真实的，逼真的；可能的
veritable adj.名副其实的，真正的，确实的
vernal a.春季的；青春的
versant a.精通的 n.山坡；斜坡
versatile a.多才多艺的；多用途的
vertex n.(三角形等)顶角；顶点，最高点
vertical a.垂直的，直立的
vertigo n.眩晕，晕头转向
verve n.(艺术作品的)神韵，气韵；(人)生机(尤指在文艺工作中)
vestment n.(作礼拜时教士的)法衣，官服
veto n.否决(权)，禁止(权)
vibrancy n.生机勃勃，活泼
vibrate v.(使)颤动，振动
vicar n.教区牧师
vicarious a.替代别人(感受，做)的，代理的
vicinity n.附近，临近
vicissitudinous a.有变化的，变迁的
victimize v.使受害，迫害
vie v.竞争
vile a.恶劣的，卑鄙的，道德败坏的
villainous a.邪恶的，恶毒的
vindication n.证明无罪，辩护
vintage a.经典的；最好的
violet a.紫罗兰色的；n.紫罗兰
virile a.有男子气的；刚健的
virility n.男子气概，刚健有力
virtual a.实质上的，实际上的(但未获名义上或正式的承认)
virtuosity n.精湛技巧，高超
virulent a.剧毒的；恶毒的
visceral a.内心深处的；内脏的
viscid a.粘性的
vista n.远景；展望
vitalize v.激发活力，使有生气
vituperate v.痛斥，辱骂
vivacious a.活泼的，快活的，有生气的
vocation n.天职，神召；工作，职业；（对特定职业的）秉性，才能
void a.空的，缺乏的；n.空隙，裂缝；空虚感
volition n.决断力；意志
volley n.齐发，群射；v.齐发，群射；(足球、网球)截击
voracious a.狼吞虎咽的，极饿的；贪婪的，贪吃的
voracity n.贪婪，贪食
votary n.崇拜者，热心支持者
vouch v.担保，证明
voucher n.证件；收据；凭证；代金券
vying a.竞争的
wacky a.（行为等）古怪的，乖僻的
waddle v.(鸭子等)摇摇摆摆地走
wade v.涉水；跋涉
wage v.开始，进行(战争，运动)
waggish a.诙谐的，滑稽的
waive v.放弃；推迟
wallop n./v. 重击，猛击
wallow v.打滚；沉迷 n.打滚
wan a.虚弱的；病容的，(面色)苍白憔悴的
wanton a.无节制的，肆无忌惮的；嬉戏的，淘气的
warehouse n.仓库，货栈
warranty n.保证(期)；辩解；有正当理由；批准
waspish a.易怒的；尖刻的
wastrel n.挥霍无度的人
waver v.动摇，犹豫
wax n.蜡；v.给…打蜡；渐满，逐渐增大
waylay v.埋伏，伏击
wean v.(孩子)断奶；戒掉(恶习)
weary a.疲劳的，令人厌倦的；v.使厌烦，使疲倦
weird a.古怪的，怪诞的，离奇的
weld v.焊接，熔接；结合
well-groomed a.非常整洁的
welsh v.欠债不还；失信
wend v.行，走，前进
wheedle v.(用花言巧语)哄骗
wheeze v.喘息；发出呼哧呼哧的声音
whet v.磨快；刺激
whiff n.（风、烟等的）一阵；v.轻吹
whim n.突然的念头，一时兴起，怪念头
whimper v.啜泣，呜咽
whine v.哀号，号哭
whirlpool n.漩涡
whisper v.耳语，低声说话
whistle n.口哨，口哨声；汽笛声；v.吹口哨
whit n.一点儿，少量
wholesome a.促进健康的
whoop n.高喊，欢呼
wicked a.极坏的；淘气的
wield v.支配，控制；行使权力
wiggle v.扭动，摆动
wigwag v.摇动，摇摆，摆动
wile n.诡计
wily a.狡猾的，诡计多端的
wince v.避开，畏缩
windfall n.被风吹落的果实；意外的收获，意料之外
windy a.有风的；冗长的，夸夸其谈的
wink v.使眼色；n.眨眼，眼色
winkle v.挑出，提出，取出
winnow v.把(谷物)的杂质吹掉
wiry a.瘦而结实的
wispy a.纤细的；脆弱的；一缕缕的
wither v.枯萎，凋零
wizened a.干皱的
wobble v.摇动，颤动；犹豫
woe n.悲痛，苦难
woo v.向(女人)求爱，求婚；恳求，争取
wrath n.愤怒，愤慨
wreak v.发泄，报复；发泄怒火
wrench v.扭，拧；n.板钳，扳手
wrest v.扭，拧；夺取，费力取得
wretched a.可怜的，不幸的，悲惨的
wrist n.腕，腕关节
writ n.命令状，书面命令
wroth a.暴怒的，非常愤怒的
wrought a.做成的，精制的
wry a.扭曲的；讽刺的，嘲弄的
yacht n.帆船，游艇
yank v.猛拉，拽
yen v.渴望
yielding a.弯曲自如的；柔顺的，依从的
yowl v.嚎叫，恸哭
yummy 美味的，可口的
zealotry n.狂热行为
zephyr n.和风；西风
zest n.刺激性 极大的快乐，兴趣
zesty 兴致很高的，热望的
zigzag n./a.之字形(的)；v.弯弯曲曲地行进
zone v.分成区；n.地区
zoom v.急速上升，猛增
